"","Year","Month","Avg #OR","Avg #RT","Avg Tweets","# OR","# RT","#Total","Total Geo","Max Rt","MD RT","Max Like","MD Like"
"1","2020",1,5947,30576.5,35501.5,1958346,7852504,9810850,1773,674151,166.5,334802,0
"2","2020",2,10978,29918,40604.5,7624648,21944443,29568948,8103,469739,50,637589,0
"3","2020",3,13095.5,44714.5,56283,12610824,46659589,59270412,19952,1064693,159,1255858,0
"4","2020",4,30091,89513,119859.5,20594379,60311559,80905936,38220,649823,36,662005,0
"5","2020",5,35163,100022.5,135709,26307406,73792461,100099863,47777,1007616,27,929811,0
"6","2020",6,51033,142569,193096,34786076,95171388,129957461,58138,790652,38,882693,0
"7","2020",7,53720.5,155042.5,209738.5,39611015,111876344,151487359,56808,9998,56,99846,0
"8","2020",8,51330.5,143551,195142,37596182,103098588,140694770,55837,2183434,44,860162,0
"9","2020",9,50068.5,132040.5,182947.5,35861979,92957247,128819226,32381,1925489,37,839689,0
"10","2020",10,54489,137225,198708.5,41062885,104195279,144962625,319101,946810,40,785385,0
"11","2020",11,64125,111686.5,177062,45096171,77885575,122981746,26488,1187438,10,619643,0
"12","2020",12,64840,121149,186852.5,49065436,87366002,133179589,3277244,1402911,14,1038164,0
"13","2021",1,58064,134346,191962,42074164,95252118,137326282,25273,1437164,24,867275,0
"14","2021",2,47789.5,104467,152780.5,30916912,65130838,96047732,23977,971119,15,644697,0
"15","2021",3,51889,117776.5,168768.5,37803773,83103448,120907221,28788,1083628,17,599385,0
"16","2021",4,47350,128902.5,176534.5,34252762,90730535,124983296,24117,1111306,32,653537,0
"17","2021",5,45779,120864,166235,34427222,89269622,123696843,22669,3194460,34,697980,0
"18","2021",6,37931.5,84426.5,122204,28310536,63462978,91773014,17693,824584,21,413875,0
"19","2021",7,47221.5,107089,155522.5,35904375,79718595,115621765,16713,1108703,30,633347,0
"20","2021",8,47626.5,109563,157721.5,35681168,81535924,117217091,13943,1271696,29,732266,0
"21","2021",9,39218.5,87191,126668.5,29197317,63649539,92846856,11824,1107188,24,378328,0
"22","2021",10,26441,56615,82723.5,19589093,41041351,60630444,9172,785621,19,611358,0
"23","2021",11,34121.5,71347.5,105270,25501791,52456045,77957836,12826,922430,18,493516,0
"24","2021",12,51161,112414.5,161728.5,38142486,81079736,116751096,2500334,2120230,32,708690,0
"25","2022",1,53236.5,116837,170493,38881931,83764485,122646416,19991,1131399,28,500716,0
"26","2022",2,32931,66068.5,98593.5,23216374,46385889,69602263,14346,1386245,21,1175841,0
"27","2022",3,24469,45660,70685.5,18827670,34717172,53544842,9695,1898582,13,191644,0
"28","2022",4,20565,40382.5,60409,15705817,30888937,46594754,9121,645485,16,442909,0
"29","2022",5,19188,36913.5,56270,14903482,28969107,43872589,7542,705210,16,1136957,0
"30","2022",6,17302,32965.5,50543.5,12877249,23906820,36784069,6260,723960,15,327944,0
"31","2022",7,7158,14199,21228,5559033,10814253,16373286,2251,3086697,15,9963,0
"32","2022",8,6982,13300,20317.5,5170130,9884397,15054527,2283,2657359,14,6701,0
"33","2022",9,13467.5,28631,42119.5,10061763,21223630,31285393,3702,1506870,28,187492,0
"34","2022",10,11966.5,25720,37289,9105739,19625222,28730961,2418,2654137,29,272724,0
"35","2022",11,10692.5,21852.5,32450,8724117,16938680,25662797,2178,1196001,24,194306,0
"36","2022",12,7955,16119,24315,5905411,12580805,18486216,1269,671917,30,236502,0
